Stufe;Place1;Place2;Place3;Place4;Place5;Longitude;Latitude;Zoom;Icon
4;DE;Brandenburg;Kreisfreie Stadt Cottbus;Gallinchen;;E14.3539;N51.7110;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Briesen;;E14.2442;N51.8155;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Guhrow;;E14.2294;N51.8120;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Schmogrow-Fehrow;;E14.2333;N51.8500;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Werben;;E14.1833;N51.8167;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Dissen-Striesow;;E14.2833;N51.8250;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Burg (Spreewald);;E14.1500;N51.8333;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Kolkwitz;;E14.2500;N51.7500;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Neu-Seeland;;E14.1309;N51.6214;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Neupetershain;;E14.1651;N51.6080;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Drebkau;;E14.2232;N51.6541;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Welzow;;E14.1708;N51.5838;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Reuthen;;E14.5266;N51.5906;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Türkendorf;;E14.4581;N51.5910;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Proschim;;E14.1884;N51.5514;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Graustein;;E14.4732;N51.5729;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Hornow-Wadelsdorf;;E14.4917;N51.6250;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Bagenz;;E14.4332;N51.6448;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Lieskau;;E14.5271;N51.5683;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Groß Luja;;E14.4467;N51.5978;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Haidemühl;;E14.2219;N51.5518;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Wolfshain;;E14.5890;N51.5799;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Tschernitz;;E14.6167;N51.5833;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Spremberg;;E14.3739;N51.5696;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Drieschnitz-Kahsel;;E14.4750;N51.6667;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Jämlitz-Klein Düben;;E14.6417;N51.5667;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Felixsee;;E14.5208;N51.6083;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Terpe;;E14.3667;N51.5667;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Forst (Lausitz);;E14.5980;N51.7302;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Wiesengrund;;E14.5533;N51.6967;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Groß Schacksdorf-Simmersdorf;;E14.6250;N51.7000;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Döbern;;E14.5981;N51.6159;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Neiße-Malxetal;;E14.6300;N51.6433;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Wiesengrund;;E14.5533;N51.6967;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Atterwasch;;E14.6255;N51.9342;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Bärenklau;;E14.5667;N51.9383;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Grabko;;E14.5756;N51.9099;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Guben;;E14.7145;N51.9499;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Pinnow-Heideland;;E14.5333;N51.9833;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Grießen;;E14.5924;N51.8492;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Gastrose-Kerkwitz;;E14.6500;N51.9000;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Lutzketal;;E14.6238;N51.9833;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Drehnow;;E14.3667;N51.8667;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Peitz;;E14.4114;N51.8584;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Grötsch;;E14.5096;N51.7932;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Heinersbrück;;E14.5074;N51.8199;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Tauer;;E14.4500;N51.9000;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Turnow-Preilack;;E14.4083;N51.8750;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Drachhausen;;E14.3164;N51.8903;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Teichland;;E14.4444;N51.8056;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Drewitz;;E14.5103;N51.8966;12;
4;DE;Brandenburg;Landkreis Spree-Neiße;Jänschwalde;;E14.4981;N51.8607;12;
4;DE;Brandenburg;Landkreis Uckermark;Luckow-Petershagen;;E14.2573;N53.2435;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Missen;;E14.0498;N51.7274;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Calau;;E13.9533;N51.7440;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Mlode;;E13.9558;N51.7746;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Ogrosen;;E14.0422;N51.7127;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Laasow;;E14.0875;N51.7134;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Bronkow;;E13.9167;N51.6667;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Saßleben;;E13.9865;N51.7591;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Bischdorf;;E13.9698;N51.7989;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Lug;;E13.9296;N51.6303;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Werchow;;E13.9555;N51.7255;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Luckaitztal;;E14.0000;N51.6833;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Lipten;;E13.9271;N51.6463;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Kemmen;;E13.9118;N51.7335;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Groß-Mehßow;;E13.8167;N51.7333;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Bolschwitz;;E14.0293;N51.7485;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Kittlitz;;E13.9161;N51.8308;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Boblitz;;E13.9827;N51.8406;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Groß Beuchow;;E13.9031;N51.8500;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Lübbenau/Spreewald;;E13.9613;N51.8626;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Hindenberg;;E13.8464;N51.8532;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Groß-Klessow;;E13.9500;N51.8333;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Klein Radden;;E13.8796;N51.8695;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Ragow;;E13.9020;N51.8875;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Suschow;;E14.0923;N51.7994;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Raddusch;;E14.0403;N51.8181;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Vetschau;;E14.0794;N51.7864;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Koßwig;;E14.0287;N51.7769;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Leipe;;E14.0441;N51.8554;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Altdöbern;;E14.0333;N51.6500;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Luckaitztal;;E14.0000;N51.6833;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Rückersdorf;;E13.5723;N51.5695;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Staupitz;;E13.6703;N51.5337;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Eichholz-Drößig;;E13.6583;N51.6083;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Massen;;E13.7330;N51.6428;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Ponnsdorf;;E13.6833;N51.6667;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Göllnitz;;E13.8575;N51.6400;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Lindthal;;E13.7804;N51.6581;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Gruhno;;E13.5185;N51.5678;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Münchhausen;;E13.6447;N51.6673;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Dollenchen;;E13.8595;N51.6082;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Gröbitz;;E13.7138;N51.6582;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Lindena;;E13.5434;N51.5928;12;
4;DE;Brandenburg;Landkreis Elbe-Elster;Oppelhain;;E13.5944;N51.5549;12;
